date,ref,specimen,tested,positive,negative,decease,comment,departement_id
2020-04-15,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-04-15,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-04-15,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-04-15,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-04-15,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-04-15,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-04-15,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-04-15,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-04-15,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-04-15,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-04-16,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-04-16,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-04-16,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-04-16,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-04-16,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-04-16,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-04-16,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-04-16,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-04-16,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-04-16,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-04-14,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-04-14,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-04-14,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-04-14,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-04-14,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-04-14,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-04-14,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-04-14,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-04-14,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-04-14,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-04-13,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-04-13,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-04-13,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-04-13,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-04-13,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-04-13,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-04-13,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-04-13,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-04-13,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-04-13,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-04-12,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-04-12,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-04-12,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-04-12,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-04-12,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-04-12,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-04-12,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-04-12,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-04-12,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-04-12,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-04-10,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-04-10,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-04-10,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-04-10,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-04-10,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-04-10,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-04-10,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-04-10,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-04-10,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-04-10,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-04-09,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-04-09,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-04-09,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-04-09,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-04-09,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-04-09,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-04-09,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-04-09,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-04-09,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-04-09,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-04-08,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-04-08,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-04-08,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-04-08,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-04-08,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-04-08,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-04-08,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-04-08,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-04-08,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-04-08,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-04-06,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-04-06,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-04-06,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-04-06,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-04-06,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-04-06,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-04-06,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-04-06,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-04-06,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-04-06,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-04-07,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-04-07,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-04-07,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-04-07,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-04-07,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-04-07,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-04-07,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-04-07,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-04-07,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-04-07,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-04-05,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-04-05,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-04-05,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-04-05,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-04-05,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-04-05,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-04-05,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-04-05,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-04-05,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-04-05,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-04-03,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-04-03,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-04-03,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-04-03,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-04-03,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-04-03,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-04-03,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-04-03,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-04-03,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-04-03,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-04-04,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-04-04,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-04-04,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-04-04,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-04-04,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-04-04,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-04-04,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-04-04,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-04-04,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-04-04,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-04-01,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-04-01,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-04-01,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-04-01,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-04-01,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-04-01,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-04-01,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-04-01,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-04-01,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-04-01,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-04-02,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-04-02,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-04-02,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-04-02,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-04-02,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-04-02,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-04-02,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-04-02,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-04-02,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-04-02,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-03-31,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-03-31,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-03-31,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-03-31,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-03-31,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-03-31,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-03-31,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-03-31,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-03-31,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-03-31,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-03-29,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-03-29,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-03-29,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-03-29,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-03-29,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-03-29,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-03-29,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-03-29,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-03-29,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-03-29,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-03-30,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-03-30,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-03-30,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-03-30,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-03-30,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-03-30,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-03-30,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-03-30,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-03-30,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-03-30,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-03-28,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-03-28,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-03-28,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-03-28,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-03-28,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-03-28,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-03-28,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-03-28,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-03-28,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-03-28,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-03-26,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-03-26,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-03-26,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-03-26,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-03-26,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-03-26,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-03-26,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-03-26,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-03-26,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-03-26,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-03-25,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-03-25,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-03-25,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-03-25,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-03-25,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-03-25,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-03-25,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-03-25,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-03-25,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-03-25,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-03-24,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-03-24,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-03-24,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-03-24,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-03-24,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-03-24,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-03-24,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-03-24,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-03-24,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-03-24,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-03-22,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-03-22,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-03-22,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-03-22,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-03-22,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-03-22,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-03-22,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-03-22,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-03-22,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-03-22,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-03-23,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-03-23,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-03-23,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-03-23,Ayiti Analytics,,16.0,2.0,,0.0,,10
2020-03-23,Ayiti Analytics,,28.0,0.0,,0.0,,3
2020-03-23,Ayiti Analytics,,24.0,7.0,,2.0,,4
2020-03-23,Ayiti Analytics,,7.0,1.0,,0.0,,9
2020-03-23,Ayiti Analytics,,317.0,24.0,,1.0,,1
2020-03-23,Ayiti Analytics,,8.0,0.0,,0.0,,7
2020-03-23,Ayiti Analytics,,22.0,4.0,,0.0,,2
2020-03-21,Ayiti Analytics,,47.0,4.0,,0.0,,5
2020-03-21,Ayiti Analytics,,14.0,1.0,,0.0,,6
2020-03-21,Ayiti Analytics,,2.0,0.0,,0.0,,8
2020-03-21,Ayiti Analytics,,16.0,2.0,,0.0,,10
